0.00001,67.49,0.35,0
0.000276316,67.26,0.33,0
0.000552632,67.04,0.33,0
0.000828947,66.81,0.36,0
0.001105263,66.58,0.4,0
0.001381579,66.35,0.45,0
0.001657895,66.1,0.49,0
0.001934211,65.77,0.51,0
0.002210526,65.32,0.53,0
0.002486842,64.69,0.54,0
0.002763158,63.78,0.56,0
0.003039474,62.5,0.59,0
0.003315789,60.55,0.59,0
0.003592105,58.16,0.48,0
0.003868421,56.24,0.26,0
0.004144737,54.52,0.04,0
0.004421053,49.84,0,0
0.004697368,39.27,0.19,0
0.004973684,25.33,0.85,0
0.005,10.5,2.1,0
